OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,ZELEV,BUFF_DIST,ORIG_FID,DATE,TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_,CROSS_STRE,OFF_STREET,CONTRIBUTI,CONTRIBU_1,CONTRIBU_2,CONTRIBU_3,CONTRIBU_4,UNIQUE_KEY,VEHICLE_TY,VEHICLE__1,VEHICLE__2,VEHICLE__3,VEHICLE__4,incidence,IndexID,OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_Data,Shape_Leng,Shape_Area_1,OBJECTID_12,GEOID_1,B00001e1,B00001m1,B00002e1,B00002m1,OBJECTID_2,GEOID_12,B19001e1,B19001m1,B19001e2,B19001m2,B19001e3,B19001m3,B19001e4,B19001m4,B19001e5,B19001m5,B19001e6,B19001m6,B19001e7,B19001m7,B19001e8,B19001m8,B19001e9,B19001m9,B19001e10,B19001m10,B19001e11,B19001m11,B19001e12,B19001m12,B19001e13,B19001m13,B19001e14,B19001m14,B19001e15,B19001m15,B19001e16,B19001m16,B19001e17,B19001m17,SHAPE_Length,SHAPE_Area
514,0,514,2,514,1,15,514,,,,,,,,,,,,,,,,,,,,,,,,514,36,47,16400,1,3.6047E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48404E-05,4085,15000US360470164001,112,-1,46,-1,4085,15000US360470164001,390,70,41,34,0,11,7,13,13,20,8,16,8,12,6,12,16,22,12,14,12,15,50,40,54,34,64,40,15,16,30,20,53,26,94.24777961,706.8583471
515,0,515,1,515,0,15,515,,,,,,,,,,,,,,,,,,,,,,,,515,36,47,16200,2,3.6047E+11,Block Group 2,G5030,S,150743,0,40.6120605,-74.0326351,15000US360470162002,0.018442403,1.60409E-05,4080,15000US360470162002,130,-1,62,-1,4080,15000US360470162002,590,93,82,56,0,11,14,15,9,13,17,20,10,15,13,14,20,31,18,19,18,21,74,61,64,35,93,54,24,22,40,24,94,40,94.24777961,706.8583471
516,0,516,2,516,0,15,516,,,,,,,,,,,,,,,,,,,,,,,,516,36,47,5400,3,3.6047E+11,Block Group 3,G5030,S,41602,0,40.6166,-74.0323044,15000US360470054003,0.008952103,4.42728E-06,3826,15000US360470054003,104,-1,56,-1,3826,15000US360470054003,631,98,75,48,18,18,31,32,44,38,13,16,8,13,49,46,53,49,16,26,76,56,54,44,66,39,43,32,43,41,20,20,24,27,94.24777961,706.8583471
517,0,517,2,517,2,15,517,,,,,,,,,,,,,,,,,,,,,,,,517,36,47,16400,1,3.6047E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48404E-05,4085,15000US360470164001,112,-1,46,-1,4085,15000US360470164001,390,70,41,34,0,11,7,13,13,20,8,16,8,12,6,12,16,22,12,14,12,15,50,40,54,34,64,40,15,16,30,20,53,26,94.24777961,706.8583471
518,0,518,1,518,0,15,518,,,,,,,,,,,,,,,,,,,,,,,,518,36,47,6000,3,3.6047E+11,Block Group 3,G5030,S,37666,0,40.6223651,-74.0329809,15000US360470060003,0.008457529,4.0087E-06,3839,15000US360470060003,60,-1,27,-1,3839,15000US360470060003,309,75,23,22,0,11,26,27,39,45,0,11,0,11,7,12,7,11,0,11,0,11,70,48,20,17,36,31,0,11,22,22,59,54,94.24777961,706.8583471
519,0,519,2,519,0,15,519,,,,,,,,,,,,,,,,,,,,,,,,519,36,47,3800,1,3.6047E+11,Block Group 1,G5030,S,127478,0,40.6344225,-74.0357544,15000US360470038001,0.016921891,1.35696E-05,3782,15000US360470038001,161,-1,74,-1,3782,15000US360470038001,612,73,25,28,7,11,17,20,10,11,56,47,32,36,8,12,9,16,35,32,22,18,56,32,75,40,76,39,28,17,67,50,89,58,94.24777961,706.8583471
520,0,520,2,520,0,15,520,,,,,,,,,,,,,,,,,,,,,,,,520,36,47,6000,2,3.6047E+11,Block Group 2,G5030,S,54936,0,40.6211497,-74.0314615,15000US360470060002,0.014628717,5.84654E-06,3838,15000US360470060002,83,-1,35,-1,3838,15000US360470060002,410,76,53,38,20,30,20,20,20,28,6,12,0,11,16,17,8,12,16,24,16,24,44,39,38,32,38,30,29,26,12,16,76,61,94.24777961,706.8583471
521,0,521,1,521,0,15,521,,,,,,,,,,,,,,,,,,,,,,,,521,36,47,3400,2,3.6047E+11,Block Group 2,G5030,S,65610,0,40.6373893,-74.0338086,15000US360470034002,0.012365801,6.98434E-06,3773,15000US360470034002,101,-1,44,-1,3773,15000US360470034002,539,94,57,38,9,14,81,72,19,18,21,23,6,11,18,28,33,52,30,32,5,9,40,60,62,38,28,31,33,38,56,42,41,33,94.24777961,706.8583471
522,0,522,1,522,1,15,522,,,,,,,,,,,,,,,,,,,,,,,,522,36,47,16400,1,3.6047E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48404E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
523,0,523,1,523,0,15,523,,,,,,,,,,,,,,,,,,,,,,,,523,36,47,5800,2,3.6047E+11,Block Group 2,G5030,S,95229,0,40.6183818,-74.0325939,15000US360470058002,0.015986844,1.01344E-05,3833,15000US360470058002,118,-1,64,-1,3833,15000US360470058002,765,110,73,46,28,24,38,41,61,54,16,17,8,13,33,38,59,57,32,40,76,60,78,63,98,53,66,41,48,50,25,23,26,27,94.24777961,706.8583471
524,0,524,1,524,0,15,524,,,,,,,,,,,,,,,,,,,,,,,,524,36,47,3400,1,3.6047E+11,Block Group 1,G5030,S,348106,0,40.6404176,-74.0334392,15000US360470034001,0.032384356,3.70581E-05,3772,15000US360470034001,66,-1,33,-1,3772,15000US360470034001,385,84,17,19,23,37,0,11,8,12,46,46,0,11,17,19,26,28,11,17,20,23,15,24,81,55,49,40,48,29,0,11,24,28,94.24777961,706.8583471
525,0,525,1,525,0,15,525,,,,,,,,,,,,,,,,,,,,,,,,525,36,47,3800,1,3.6047E+11,Block Group 1,G5030,S,127478,0,40.6344225,-74.0357544,15000US360470038001,0.016921891,1.35696E-05,3782,15000US360470038001,220,-1,102,-1,3782,15000US360470038001,667,46,10,12,5,8,26,28,14,12,41,31,17,26,6,10,18,21,51,43,22,17,66,42,102,45,98,48,49,21,53,34,89,44,94.24777961,706.8583471
526,0,526,1,526,0,15,526,,,,,,,,,,,,,,,,,,,,,,,,526,36,47,3400,3,3.6047E+11,Block Group 3,G5030,S,63683,0,40.6360139,-74.0344291,15000US360470034003,0.012593108,6.77889E-06,3774,15000US360470034003,64,-1,33,-1,3774,15000US360470034003,436,90,7,12,28,25,14,22,68,71,0,11,14,17,0,11,0,11,0,11,41,32,8,11,83,69,54,47,53,42,45,43,21,33,94.24777961,706.8583471
527,0,527,1,527,0,15,527,,,,,,,,,,,,,,,,,,,,,,,,527,36,47,16400,1,3.6047E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48404E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
528,0,528,2,528,0,15,528,,,,,,,,,,,,,,,,,,,,,,,,528,36,47,16400,1,3.6047E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48404E-05,4085,15000US360470164001,112,-1,46,-1,4085,15000US360470164001,390,70,41,34,0,11,7,13,13,20,8,16,8,12,6,12,16,22,12,14,12,15,50,40,54,34,64,40,15,16,30,20,53,26,94.24777961,706.8583471
