"";"Station";"sum";"Latitude";"Longitude"
"357";6282;4689;42,05028;-76,8326
"358";6282;4580;42,05028;-76,8326
"359";6282;4205;42,05028;-76,8326
"360";6282;4124;42,05028;-76,8326
"361";6282;4267;42,05028;-76,8326
"362";6282;4292;42,05028;-76,8326
"363";6282;4229;42,05028;-76,8326
"364";6282;4114;42,05028;-76,8326
"365";6282;4449;42,05028;-76,8326
"366";6282;4466;42,05028;-76,8326
"367";6282;4649;42,05028;-76,8326
"368";6282;4704;42,05028;-76,8326
"369";6282;4065;42,05028;-76,8326
"370";6282;4076;42,05028;-76,8326
"371";6282;4138;42,05028;-76,8326
"372";6282;4199;42,05028;-76,8326
"373";6282;4052;42,05028;-76,8326
"374";6282;4122;42,05028;-76,8326
"375";6282;4365;42,05028;-76,8326
"376";6282;4367;42,05028;-76,8326
"377";6282;4624;42,05028;-76,8326
"378";6282;4638;42,05028;-76,8326
"379";6282;4162;42,05028;-76,8326
"380";6282;4113;42,05028;-76,8326
"381";6282;4051;42,05028;-76,8326
"382";6282;4052;42,05028;-76,8326
"383";6282;4268;42,05028;-76,8326
"384";6282;4243;42,05028;-76,8326
"385";6282;4397;42,05028;-76,8326
"386";6282;4400;42,05028;-76,8326
"387";6282;4745;42,05028;-76,8326
"388";6282;4797;42,05028;-76,8326
"389";6282;4271;42,05028;-76,8326
"390";6282;4144;42,05028;-76,8326
"391";6282;4312;42,05028;-76,8326
"392";6282;4259;42,05028;-76,8326
"393";6282;4279;42,05028;-76,8326
"394";6282;4257;42,05028;-76,8326
"395";6282;4496;42,05028;-76,8326
"396";6282;4509;42,05028;-76,8326
"397";6282;4789;42,05028;-76,8326
"398";6282;4821;42,05028;-76,8326
"399";6282;4051;42,05028;-76,8326
"400";6282;4015;42,05028;-76,8326
"401";6282;4193;42,05028;-76,8326
"402";6282;4236;42,05028;-76,8326
"403";6282;4247;42,05028;-76,8326
"404";6282;4221;42,05028;-76,8326
"405";6282;4540;42,05028;-76,8326
"406";6282;4581;42,05028;-76,8326
"407";6282;4477;42,05028;-76,8326
"408";6282;4523;42,05028;-76,8326
"409";6282;3756;42,05028;-76,8326
"410";6282;3632;42,05028;-76,8326
"411";6282;4278;42,05028;-76,8326
"412";6282;4290;42,05028;-76,8326
"413";6282;4299;42,05028;-76,8326
"414";6282;4256;42,05028;-76,8326
"415";6282;4427;42,05028;-76,8326
"416";6282;4399;42,05028;-76,8326
"417";6282;4733;42,05028;-76,8326
"418";6282;4784;42,05028;-76,8326
"419";6282;4221;42,05028;-76,8326
"420";6282;4205;42,05028;-76,8326
"421";6282;4112;42,05028;-76,8326
"422";6282;4098;42,05028;-76,8326
"423";6282;4243;42,05028;-76,8326
"424";6282;4296;42,05028;-76,8326
"425";6282;4413;42,05028;-76,8326
"426";6282;4424;42,05028;-76,8326
"427";6282;4594;42,05028;-76,8326
"428";6282;4660;42,05028;-76,8326
"429";6282;3916;42,05028;-76,8326
"430";6282;3934;42,05028;-76,8326
"431";6282;4143;42,05028;-76,8326
"432";6282;4120;42,05028;-76,8326
"433";6282;4040;42,05028;-76,8326
"434";6282;4149;42,05028;-76,8326
"435";6282;4628;42,05028;-76,8326
"436";6282;4664;42,05028;-76,8326
"437";6282;4819;42,05028;-76,8326
"438";6282;4917;42,05028;-76,8326
"439";6282;4023;42,05028;-76,8326
"440";6282;4023;42,05028;-76,8326
"441";6282;4108;42,05028;-76,8326
"442";6282;4149;42,05028;-76,8326
"443";6282;4103;42,05028;-76,8326
"444";6282;4094;42,05028;-76,8326
"445";6282;4148;42,05028;-76,8326
"446";6282;4180;42,05028;-76,8326
"447";6282;4549;42,05028;-76,8326
"448";6282;4527;42,05028;-76,8326
"449";6282;3603;42,05028;-76,8326
"450";6282;3465;42,05028;-76,8326
"451";6282;4018;42,05028;-76,8326
"452";6282;4000;42,05028;-76,8326
"453";6282;4069;42,05028;-76,8326
"454";6282;4181;42,05028;-76,8326
"455";6282;4363;42,05028;-76,8326
"456";6282;4338;42,05028;-76,8326
"457";6282;4690;42,05028;-76,8326
"458";6282;4656;42,05028;-76,8326
"459";6282;4019;42,05028;-76,8326
"460";6282;3999;42,05028;-76,8326
"461";6282;4095;42,05028;-76,8326
"462";6282;4114;42,05028;-76,8326
"463";6282;4272;42,05028;-76,8326
"464";6282;4317;42,05028;-76,8326
